*BIDIRECTIONAL
*types,1
*item,Venetian 0 deg
#(3 datatypes: Te_g_rho, Te_abs_n_diffuse, Te_g_only)
*datatype,Te_g_rho
*layers,3
*sets,3
# Next four lines are not used (only for documentation)
# Properties of DGU: 
# 2 x 3mm low-E with venetian blinds in three states: 0, 45 and 90 deg.
# g0 = 0.606;
# tauvis0 = 0.792;
# udgu := 1.955;
*start_set 
*set_type 1, #2x3mm low-E-V0 
*Uvalue 1.955
*Rexternal 0.04
*Rinternal 0.13
#Next 2 lines: only used for datatype 1 (Te_abs_n_diffuse)
*diffuse_abs,0.26,0.521,0.002,0,0.007
*diffuse_trn,0.345
*direct_angs,37,37
*data
#Azimuth,Height,Te,g,rho
-50,65,0.045,0.045,0.525
-50,70,0.036,0.036,0.554
-50,75,0.036,0.036,0.554
-50,80,0.036,0.036,0.554
-50,85,0.036,0.036,0.554
-50,90,0.036,0.036,0.554
-45,-90,0.036,0.036,0.554
-45,-85,0.036,0.036,0.554
-45,-80,0.036,0.036,0.554
-45,-75,0.037,0.037,0.550
-45,-70,0.038,0.038,0.545
-45,-65,0.048,0.048,0.510
-45,-60,0.058,0.058,0.476
-45,-55,0.070,0.070,0.440
-45,-50,0.083,0.083,0.405
-45,-45,0.099,0.099,0.372
-45,-40,0.115,0.115,0.338
-45,-35,0.138,0.138,0.319
-45,-30,0.160,0.160,0.301
-45,-25,0.207,0.207,0.284
-45,-20,0.253,0.253,0.267
-45,-15,0.310,0.310,0.255
-45,-10,0.366,0.366,0.243
-45,-5,0.418,0.418,0.233
-45,0,0.470,0.470,0.223
-45,5,0.418,0.418,0.233
-45,10,0.366,0.366,0.243
-45,15,0.310,0.310,0.255
-45,20,0.253,0.253,0.267
-45,25,0.207,0.207,0.284
-45,30,0.160,0.160,0.301
-45,35,0.138,0.138,0.319
-45,40,0.115,0.115,0.338
-45,45,0.099,0.099,0.372
-45,50,0.083,0.083,0.405
-45,55,0.070,0.070,0.440
-45,60,0.058,0.058,0.476
-45,65,0.048,0.048,0.510
-45,70,0.038,0.038,0.545
-45,75,0.037,0.037,0.550
-45,80,0.036,0.036,0.554
-45,85,0.036,0.036,0.554
-45,90,0.036,0.036,0.554
-40,-90,0.036,0.036,0.554
-40,-85,0.036,0.036,0.554
-40,-80,0.036,0.036,0.554
-40,-75,0.038,0.038,0.545
-40,-70,0.040,0.040,0.536
-40,-65,0.051,0.051,0.496
-40,-60,0.062,0.062,0.456
-40,-55,0.075,0.075,0.417
-40,-50,0.088,0.088,0.378
-40,-45,0.104,0.104,0.341
-40,-40,0.120,0.120,0.304
-40,-35,0.151,0.151,0.293
-40,-30,0.182,0.182,0.281
-40,-25,0.226,0.226,0.269
-40,-20,0.269,0.269,0.257
-40,-15,0.326,0.326,0.244
-40,-10,0.383,0.383,0.232
-40,-5,0.434,0.434,0.222
-40,0,0.484,0.484,0.212
-40,5,0.434,0.434,0.222
-40,10,0.383,0.383,0.232
-40,15,0.326,0.326,0.244
-40,20,0.269,0.269,0.257
-40,25,0.226,0.226,0.269
-40,30,0.182,0.182,0.281
-40,35,0.151,0.151,0.293
-40,40,0.120,0.120,0.304
-40,45,0.104,0.104,0.341
-40,50,0.088,0.088,0.378
-40,55,0.075,0.075,0.417
-40,60,0.062,0.062,0.456
-40,65,0.051,0.051,0.496
-40,70,0.040,0.040,0.536
-40,75,0.038,0.038,0.545
-40,80,0.036,0.036,0.554
-40,85,0.036,0.036,0.554
-40,90,0.036,0.036,0.554
-35,-90,0.036,0.036,0.554
-35,-85,0.036,0.036,0.554
-35,-80,0.036,0.036,0.554
-35,-75,0.039,0.039,0.540
-35,-70,0.043,0.043,0.525
-35,-65,0.054,0.054,0.482
-35,-60,0.065,0.065,0.439
-35,-55,0.077,0.077,0.398
-35,-50,0.089,0.089,0.356
-35,-45,0.110,0.110,0.327
-35,-40,0.131,0.131,0.297
-35,-35,0.165,0.165,0.285
-35,-30,0.199,0.199,0.272
-35,-25,0.244,0.244,0.259
-35,-20,0.288,0.288,0.247
-35,-15,0.342,0.342,0.236
-35,-10,0.396,0.396,0.225
-35,-5,0.445,0.445,0.216
-35,0,0.494,0.494,0.207
-35,5,0.445,0.445,0.216
-35,10,0.396,0.396,0.225
-35,15,0.342,0.342,0.236
-35,20,0.288,0.288,0.247
-35,25,0.244,0.244,0.259
-35,30,0.199,0.199,0.272
-35,35,0.165,0.165,0.285
-35,40,0.131,0.131,0.297
-35,45,0.110,0.110,0.327
-35,50,0.089,0.089,0.356
-35,55,0.077,0.077,0.398
-35,60,0.065,0.065,0.439
-35,65,0.054,0.054,0.482
-35,70,0.043,0.043,0.525
-35,75,0.039,0.039,0.540
-35,80,0.036,0.036,0.554
-35,85,0.036,0.036,0.554
-35,90,0.036,0.036,0.554
-30,-90,0.036,0.036,0.555
-30,-85,0.036,0.036,0.555
-30,-80,0.036,0.036,0.554
-30,-75,0.040,0.040,0.534
-30,-70,0.045,0.045,0.514
-30,-65,0.056,0.056,0.468
-30,-60,0.067,0.067,0.423
-30,-55,0.079,0.079,0.378
-30,-50,0.091,0.091,0.334
-30,-45,0.116,0.116,0.312
-30,-40,0.142,0.142,0.290
-30,-35,0.178,0.178,0.277
-30,-30,0.215,0.215,0.263
-30,-25,0.261,0.261,0.250
-30,-20,0.308,0.308,0.237
-30,-15,0.358,0.358,0.227
-30,-10,0.408,0.408,0.218
-30,-5,0.455,0.455,0.210
-30,0,0.503,0.503,0.201
-30,5,0.455,0.455,0.210
-30,10,0.408,0.408,0.218
-30,15,0.358,0.358,0.227
-30,20,0.308,0.308,0.237
-30,25,0.261,0.261,0.250
-30,30,0.215,0.215,0.263
-30,35,0.178,0.178,0.277
-30,40,0.142,0.142,0.290
-30,45,0.116,0.116,0.312
-30,50,0.091,0.091,0.334
-30,55,0.079,0.079,0.378
-30,60,0.067,0.067,0.423
-30,65,0.056,0.056,0.468
-30,70,0.045,0.045,0.514
-30,75,0.040,0.040,0.534
-30,80,0.036,0.036,0.554
-30,85,0.036,0.036,0.555
-30,90,0.036,0.036,0.555
-25,-90,0.036,0.036,0.555
-25,-85,0.036,0.036,0.555
-25,-80,0.036,0.036,0.555
-25,-75,0.041,0.041,0.530
-25,-70,0.047,0.047,0.506
-25,-65,0.059,0.059,0.458
-25,-60,0.070,0.070,0.410
-25,-55,0.083,0.083,0.366
-25,-50,0.095,0.095,0.321
-25,-45,0.119,0.119,0.303
-25,-40,0.144,0.144,0.286
-25,-35,0.179,0.179,0.272
-25,-30,0.213,0.213,0.258
-25,-25,0.264,0.264,0.247
-25,-20,0.314,0.314,0.235
-25,-15,0.364,0.364,0.226
-25,-10,0.415,0.415,0.216
-25,-5,0.462,0.462,0.208
-25,0,0.508,0.508,0.199
-25,5,0.462,0.462,0.208
-25,10,0.415,0.415,0.216
-25,15,0.364,0.364,0.226
-25,20,0.314,0.314,0.235
-25,25,0.264,0.264,0.247
-25,30,0.213,0.213,0.258
-25,35,0.179,0.179,0.272
-25,40,0.144,0.144,0.286
-25,45,0.119,0.119,0.303
-25,50,0.095,0.095,0.321
-25,55,0.083,0.083,0.366
-25,60,0.070,0.070,0.410
-25,65,0.059,0.059,0.458
-25,70,0.047,0.047,0.506
-25,75,0.041,0.041,0.530
-25,80,0.036,0.036,0.555
-25,85,0.036,0.036,0.555
-25,90,0.036,0.036,0.555
-20,-90,0.036,0.036,0.555
-20,-85,0.036,0.036,0.555
-20,-80,0.036,0.036,0.555
-20,-75,0.042,0.042,0.526
-20,-70,0.049,0.049,0.498
-20,-65,0.061,0.061,0.448
-20,-60,0.073,0.073,0.398
-20,-55,0.086,0.086,0.353
-20,-50,0.099,0.099,0.308
-20,-45,0.122,0.122,0.295
-20,-40,0.146,0.146,0.282
-20,-35,0.179,0.179,0.268
-20,-30,0.212,0.212,0.254
-20,-25,0.266,0.266,0.244
-20,-20,0.320,0.320,0.233
-20,-15,0.371,0.371,0.224
-20,-10,0.422,0.422,0.214
-20,-5,0.468,0.468,0.206
-20,0,0.513,0.513,0.198
-20,5,0.468,0.468,0.206
-20,10,0.422,0.422,0.214
-20,15,0.371,0.371,0.224
-20,20,0.320,0.320,0.233
-20,25,0.266,0.266,0.244
-20,30,0.212,0.212,0.254
-20,35,0.179,0.179,0.268
-20,40,0.146,0.146,0.282
-20,45,0.122,0.122,0.295
-20,50,0.099,0.099,0.308
-20,55,0.086,0.086,0.353
-20,60,0.073,0.073,0.398
-20,65,0.061,0.061,0.448
